tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
723838960,723838961,8606,50f98dd2233ff4ba977f01530251e033ff8a8d80,python,ok,1,python,,true,true,0,0,0,0,,,,flake8 3.5.0 has requirement pyflakes<1.7.0,>=1.5.0, but you'll have pyflakes 2.2.0 which is incompatible.#black 20.8b1 has requirement click>=7.1.2, but you'll have click 7.1.1 which is incompatible.#moto 1.3.14 has requirement idna<2.9,>=2.5, but you'll have idna 2.9 which is incompatible.,0,,20860
729366191,729366192,8782,ebf86c0eb2a529fa909da2b50874883d99eeae1f,python,ok,1,python,,true,true,0,0,0,0,,,,flake8 3.5.0 has requirement pyflakes<1.7.0,>=1.5.0, but you'll have pyflakes 2.2.0 which is incompatible.#black 20.8b1 has requirement click>=7.1.2, but you'll have click 7.1.1 which is incompatible.,0,,21084
735845534,735845535,8983,c75d44864eac5202aa35bae88d030a9d18d9a3f2,python,ok,1,python,,true,true,0,0,0,0,,,,virtualenv 20.0.17 has requirement importlib-metadata<2,>=0.12; python_version < "3.8", but you'll have importlib-metadata 2.0.0 which is incompatible.#flake8 3.5.0 has requirement pyflakes<1.7.0,>=1.5.0, but you'll have pyflakes 2.2.0 which is incompatible.#black 20.8b1 has requirement click>=7.1.2, but you'll have click 7.1.1 which is incompatible.,0,,21412
737829407,737829408,9032,2ccb7034b50ea15e7b64c7b698f1bbce913b6401,python,ok,1,python,,true,true,0,0,0,0,,,,virtualenv 20.0.17 has requirement importlib-metadata<2,>=0.12; python_version < "3.8", but you'll have importlib-metadata 2.0.0 which is incompatible.#flake8 3.5.0 has requirement pyflakes<1.7.0,>=1.5.0, but you'll have pyflakes 2.2.0 which is incompatible.#black 20.8b1 has requirement click>=7.1.2, but you'll have click 7.1.1 which is incompatible.,0,,21545
739149076,739149077,9083,831e5619e1aec4bbc250e4fbe4d99b11bd754fde,python,ok,1,python,,true,true,0,0,0,0,,,,virtualenv 20.0.17 has requirement importlib-metadata<2,>=0.12; python_version < "3.8", but you'll have importlib-metadata 2.0.0 which is incompatible.#flake8 3.5.0 has requirement pyflakes<1.7.0,>=1.5.0, but you'll have pyflakes 2.2.0 which is incompatible.#black 20.8b1 has requirement click>=7.1.2, but you'll have click 7.1.1 which is incompatible.,0,,21633
